FaceID,Batch,Shotcrete_Layer,Spray_Time,Air_Temp,Shotcrete_Temp,Shotcrete_Blend,15M_MPa,30M_MPa,60M_MPa,90M_MPa,120M_MPa,150M_Mpa,180M_Mpa,240M_Mpa,270M_Mpa,300M_Mpa
RUP_1075_630_ACC_20,"3,4,5,6",2,15:00:00,10.0,,,,,0.81,,0.94,1.02,,,,
RUP_950_DEC_10,"3,4,5",1,06:30:00,4.0,,,,,1,0.6,,0.82,0.97,,,
RUP_1075_630_ACC_21,1,1,14:00:00,7.0,,,,,,,,,,,,
RUP_1075_630_ACC_21,"2,3",2,02:20:00,6.0,,,,,1.01,,,,,,,
RUP_1075_630_ACC_21,4 & 5,3,14:20:00,10.0,,,,,,,,1.0,,,,
RUP_1075_630_ACC_22,1,1,08:45:00,10.0,,,,,0.91,1.03,,,,,,
RUP_1075_630_ACC_22,2 & 3,2,02:15:00,7.0,,,,,0.89,1.06,,,,,,
RUP_1050_539_RMP_22,5 & 6 & 7,2,22:00:00,5.0,,,,,0.86,1,,,,,,
RUP_1075_630_ACC_23,1,1,10:30:00,15.0,,,,,1.05,,,,,,,
RUP_1075_630_ACC_23,3,2,18:50:00,,,,,,,,,1.0,,,,
RUP_1075_DEC (Rehabilitation NCR-GTC-054),1 & 2 & 3,2,05:45:00,7.0,,,,,0.87,,1.01,,,,,
RUP_1075_630_ACC_24,1,1,14:30:00,16.0,,,,,0.77,,1.02,,,,,
RUP_950_DEC_12,1 & 2,1,20:00:00,,,,,,,,,,,,,
RUP_1075_DEC (Rehabilitation NCR-GTC-054),4 & 5 & 6,3,23:30:00,8.0,,,,,0.88,1,,,,,,
RUP_950_DEC (Rehabilitation NCR-GTC-071),1,1,22:00:00,8.0,,,,,,1.03,,,,,,
RUP_1075_630_ACC_25,2,2,06:20:00,10.0,,,,,0.77,,,1.04,,,,
RUP_1075_630_ACC_26,2,1,23:30:00,9.0,,,,,,0.69,1.04,,,,,
RUP_1075_630_ACC_26,3 & 4,2,18:15:00,14.0,,,,,0.69,,,1.04,,,,
RUP_1065_SMP_01,1,1,08:40:00,18.0,,,,,0.8,,1.01,,,,,
RUP_1100_592_RMP_11,2,1,03:00:00,11.0,,,,,0.65,0.77,1.04,,,,,
RUP_1065_SMP_01,2 &3 ,2,11:20:00,17.0,,,,0.8,,1.02,,,,,,
RUP_950_DEC_14,1,1,17:00:00,12.0,,,,,,,0.99,,,,,
RUP_950_DEC_15,1 & 2,1,23:10:00,12.0,,,,,,,1.02,,,,,
RUP_1065_SMP_02,1,1,06:10:00,7.0,,,,,0.67,,,,0.85,1.01,,
RUP_1100_592_RMP_01,1,3,07:00:00,8.0,,,,,,,,1.0,,,,
RUP_1065_SMP_02,2 & 3,2,22:00:00,10.0,,,,,0.71,,,,,,,
RUP_1065_SMP_03,1,1,20:15:00,8.0,,,,,,,,1.0,,,,
RUP_1075_630_ACC_27,1,1,05:00:00,6.0,,,,,0.88,,1.03,,,,,
RUP_1075_630_ACC_27,2 & 3,2,15:10:00,10.0,,,,,,,0.78,,1.04,,,
RUP_1065_SMP_03,3,3,19:10:00,13.0,,,,,,1.04,,,,,,
RUP_975_ACC_01,1 & 2,1,11:00:00,14.0,,,,,,,,,1.02,,,
RUP_1065_SMP_04,1 & 2,2,15:20:00,10.0,,,,,,1.02,,,,,,
RUP_1075_630_ACC_28,3&4&5,2,02:20:00,9.0,,,,,0.8,,0.9,,,,,
RUP_1065_SMP_04,"3,4,5",2,07:10:00,11.0,,,,,0.81,,1,,,,,
RUP_975_ACC_01,5,2,16:30:00,13.0,,,,,,,1.05,,,,,
RUP_1065_SMP_05,1,1,03:45:00,11.0,,,,,,,0.9,1.02,,,,
RUP_975_ACC_01,6 & 7,3,10:30:00,10.0,,,,,,0.82,,1.0,,,,
RUP_1065_SMP_05,3 & 4 & 5,2,20:00:00,10.0,,,,,,,,,,,,
RUP_1075_630_ACC_29,2 & 3,1,06:25:00,12.0,,,,,,1,,,,,,
RUP_1075_630_ACC_29,6,2,03:45:00,12.0,,,,0.7,,,1.03,,,,,
RUP_1075_630_ACC_29,11 & 12,3,05:45:00,14.0,,,,0.5,,,,,0.87,1.03,,
RUP_975_ACC_02,"1,2,3",1,13:30:00,16.0,,,,,0.92,1,,,,,,
RUP_1075_630_ACC_29 (SI-GTC-053),1 & 2,3,05:50:00,11.0,,,,,0.9,1.02,,,,,,
RUP_1075_630_ACC_29 (SI-GTC-056),1 & 2,1,03:10:00,10.0,,,,,0.81,,0.92,,1.03,,,
RUP_975_ACC_03,1 & 2,1,12:35:00,22.0,,,,,,,,,1.02,,,
RUP_1050_DEC (Reh. NCR-GTC-060),1&2&3&4,2,04:00:00,12.0,,,,,1.02,,,,,,,
RUP_975_ACC_04,1 & 2,1,10:20:00,12.0,,,,,,,,,1.02,,,
RUP_975_ACC_05,1 & 2,1,19:10:00,10.0,,,,,,0.76,,1.1,,,,
RUP_950_DEC (Rehabilitation NCR-GTC-086),1,1,20:10:00,10.0,,,,,,,1,,,,,
RUP_1075_SMP_01,1,1,22:30:00,11.0,,,,,,,0.99,,,,,
RUP_1075_SMP_01,2&3,2,12:05:00,15.0,,,,,0.73,,1.02,,,,,
RUP_975_ACC_06,1 & 2,1,14:30:00,15.0,,,,0.77,,,,,1.12,,,
RUP_975_ACC_07,1 & 2 & 3,1,20:00:00,8.0,,,,,0.8,,1,,,,,
RUP_1075_630_ACC_30,1 & 6,1,15:30:00,12.0,,,,,,1.03,,,,,,
RUP_1050_RMP (NCR-GTC-014),3 & 4 & 5 & 6 & 7 & 8 & 9,2,06:50:00,10.0,,,,,0.8,,0.98,,,,,
RUP_1075_630_ACC_30,7 & 8 &9&10&11,2,20:45:00,12.0,,,,,0.64,,0.91,1.0,,,,
RUP_975_ACC_08,1 & 2,1,02:00:00,11.0,,,,,,,1.03,,,,,
RUP_1075_539_DEC_22,12,3,21:30:00,10.0,,,,,,,,,1,,,
RUP_955_DEC_01/975_INC_01,1 & 2 & 3,1,13:40:00,25.0,,,,,,0.79,,,1,,,
RUP_1075_630_ACC_31,1,1,19:10:00,18.0,,,,,1.01,,,,,,,
RUP_1050_539_RMP_23,1 & 2,1,23:10:00,16.0,,,,,,,0.72,,1,,,
RUP_1075_630_ACC_31,2,2,01:45:00,20.0,,,,0.79,1.01,,,,,,,
RUP_1050_539_RMP_23,3 & 4 & 5,2,17:00:00,30.0,,,,,0.82,,1.01,,,,,
RUP_1075_630_ACC_32,1,1,00:50:00,21.0,,,,0.74,1.01,,,,,,,
RUP_1075_630_ACC_33,,,,,,,,,,,,,,,,
RUP_1050_539_RMP_24,2,2,04:00:00,12.0,,,,,1.02,,,,,,,
RUP_1075_SMP_02,2 & 3,2,21:00:00,12.0,,,,,0.78,1,,,,,,
RUP_955_DEC_03,1 & 2,1,18:15:00,17.0,,,,,1.01,,,,,,,
RUP_975_INC_03,1 & 2,1,13:00:00,17.0,,,,,,,,,,1.0,,
RUP_1050_539_RMP_26,1 & 2 & 4,1,04:45:00,10.0,,,,,,0.75,1.02,,,,,
RUP_1075_630_XC_01,1 & 2,1,04:20:00,12.0,,,,,0.95,1.04,,,,,,
RUP_1075_630_XC_01,3 to 7,2,00:00:00,7.0,,,,,,0.83,1,,,,,
RUP_1050_539_RMP_27,1 & 2,1,03:45:00,6.0,,,,,,0.9,1,,,,,
RUP_1075_630_XC_02,3 & 4,1,14:15:00,18.0,,,,,,,0.77,,1,,,
RUP_1050_539_RMP_28,"1,2,3,4,5",1,14:10:00,17.0,,,,,0.86,,1.02,,,,,
RUP_1075_630_XC_03,"1,2,3,4,5",1,22:00:00,17.0,,,,,,,,1.07,,,,
RUP_1050_539_RMP_29,"2,3,4,5,6",1,11:45:00,15.0,,,,,,,0.76,,1.01,,,
RUP_975_INC_04,1 & 3,1,20:10:00,15.0,,,,,,1.04,,,,,,
RUP_1075_630_XC_04,1&2,1,03:30:00,13.0,,,,,0.99,,,,,,,
RUP_1075_630_XC_05,1 and 2 ,1,06:05:00,17.0,,,,,,,,,,,,
RUP_1050_539_RMP_30,"1,2,3,4",1,12:50:00,17.0,,,,,,,,,,,,
RUP_1075_SMP_03,4 & 5,1,19:00:00,26.0,,,,,1.01,,,,,,,
RUP_1075_630_XC_06,1 & 2 & 3,1,22:00:00,26.0,,,,,0.76,,,,1.04,,,
RUP_1050_539_RMP_31,1 & 2,1,21:01:00,25.0,,,,,1,,,,,,,
RUP_975_INC_05,1 & 2,1,01:50:00,10.0,,,,,,1,,,,,,
RUP_975_INC_06,1 & 2,1,09:05:00,25.0,,,,,0.89,1.01,,,,,,
RUP_1075_630_XC_07,1 & 2,1,01:15:00,9.0,,,,,0.99,,,,,,,
RUP_975_INC_06,2 & 3,1,05:30:00,20.0,,,,,0.69,,,,,,,
RUP_1075_630_XC_08,1 & 2,1,22:45:00,21.0,,,,,,1.03,,,,,,
"975_ACC, 975_INC,950_DEC (Rehab)","1,2,3,4,5",2,14:15:00,35.0,,,,,,,1.05,,,,,
RUP_1025_DEC_01,"1,4",1,11:20:00,21.0,,,,,,1,,,,,,
RUP_1075_630_XC_09,1,1,13:20:00,22.0,,,,,0.99,,,,,,,
RUP_975_INC_08,3&4&5&6,2,03:45:00,15.0,,,,,,0.99,,,,,,
RUP_1025_DEC_02,1 & 2,1,17:00:00,25.0,,,,,0.88,,0.99,,,,,
RUP_1075_630_XC_10,1 & 2,1,22:15:00,18.0,,,,,0.87,1,,,,,,
RUP_1025_DEC_03,"1,4",1,08:05:00,17.0,,,,,,0.97,,,,,,
RUP_975_INC_08,6,1,12:20:00,26.0,,,,,,0.95,,,,,,
RUP_1025_DEC_04,1 & 2,1,13:35:00,26.0,,,,,0.61,,,0.84,,1.01,,
RUP_1025_DEC_05,1&2&3,1,19:00:00,28.0,,,,,,,0.77,,1.02,,,
RUP_1075_630_XC_14,1 & 2,1,15:40:00,26.0,,,,,1,,,,,,,
RUP_1025_DEC_06,1 & 2,1,23:25:00,18.0,,,,,,1.04,,,,,,
RUP_975_INC_10,2&3&4&5,1,02:10:00,12.0,,,,,1.01,,,,,,,
RUP_950_DEC_17,1 & 2,1,14:15:00,25.0,,,,,0.87,1.02,,,,,,
RUP_950_DEC_18,1 & 2,1,22:15:00,23.0,,,,,,,1,,,,,
RUP_1075_FWD_S_01,1&2&3,1,13:40:00,21.0,,,,,1.03,,,,,,,
RUP_975_INC_11,1 & 2,1,21:20:00,24.0,,,,,0.79,1,,,,,,
RUP_1075_FWD_S_02,1&2&3,1,16:00:00,20.0,,,,,,,1.04,,,,,
RUP_975_INC_12,2 & 3,1,21:30:00,17.0,,,,,0.99,,,,,,,
RUP_955_DEC_05,1 & 2,1,18:50:00,28.0,,,,,,1.03,,,,,,
RUP_975_INC_13,1 & 2,1,20:50:00,21.0,,,,,0.8,1.03,,,,,,
RUP_1075_FWD_S_03,1 & 2,1,06:10:00,12.0,,,,,,,1.1,,,,,
RUP_975_INC_14,1 & 2,1,17:00:00,28.0,,,,,1.01,,,,,,,
RUP_955_DEC_06,1 & 2,1,20:00:00,22.0,,,,,0.88,1.01,,,,,,
RUP_1075_FWD_S_04,1 & 2  & 3,1,04:05:00,20.0,,,,,1.01,,,,,,,
RUP_1050_ACC_01,1 & 2 & 3,1,15:05:00,31.0,,,,,,1.02,,,,,,
RUP_955_DEC_07,1 & 2 & 3,1,01:40:00,20.0,,,,,,1.02,,,,,,
RUP_975_ACC_01,1 & 2 & 3,1,04:15:00,18.0,,,,,1.03,,,,,,,
RUP_1075_FWD_S_05,1 & 2 & 3,1,13:10:00,15.0,,,,,,1,,,,,,
RUP_1050_ACC_01,7 & 8,1,08:50:00,15.0,,,,,,1,,,,,,
RUP_1050_ACC_02,1 & 2 & 3,1,02:15:00,11.0,,,,,0.99,,,,,,,
RUP_975_INC_18,1 & 2 & 3,1,10:00:00,19.0,,,,,,,1.01,,,,,
RUP_975_ACC_04,1 & 2 & 3,1,13:30:00,19.0,,,,,1.02,,,,,,,
RUP_1050_ACC_02,,1,15:00:00,20.0,,,,,,,0.94,1.03,,,,
RUP_975_INC_19,2 & 3 & 4,1,18:00:00,16.0,,,,,,,1.01,,,,,
RUP_975_INC_20,1 & 2 & 3,1,07:15:00,16.0,,,,,,1.01,,,,,,
RUP_975_ACC_06,1 & 2,1,10:40:00,16.0,,,,,1,,,,,,,
RUP_1025_DEC_08,1 & 2 & 3,1,20:00:00,16.0,,,,,1,,,,,,,
RUP_1050_ACC_03,1 & 2,1,13:50:00,17.0,,,,,,,,,0.98,,,
RUP_975_INC_21,1 & 2,1,19:05:00,15.0,,,,,,1.08,,,,,,
RUP_1050_ACC_03,3 & 4,2,10:30:00,18.0,,,,,,0.98,,,,,,
RUP_975_INC_22,2 & 3,1,11:30:00,20.0,,,,,,,,0.95,,,,
RUP_975_INC_23,1 & 2,1,15:35:00,25.0,,,,,,1.03,,,,,,
RUP_975_ACC_09,1 & 2 & 3,1,19:55:00,29.0,,,,,1,,,,,,,
RUP_1025_DEC_10,1 & 2 & 3,1,14:15:00,,,,,,,1.01,,,,,,
RUP_975_INC_24,1 & 2,1,04:30:00,12.0,,,,,,,,,,1.24,,
RUP_1025_DEC_11,1 & 2,1,20:30:00,27.0,,,,,,,,,,,,
RUP_975_INC_25,1 & 2,1,11:00:00,27.0,,,,,,1.02,,,,,,
RUP_975_ACC_10,1 & 2 & 3,1,14:40:00,32.0,,,,,1.03,,,,,,,
RUP_1025-DEC_12,1 & 2,1,11:50:00,32.0,,,,,1.03,,,,,,,
RUP_975_ACC_11,1 & 2 & 3,1,16:40:00,31.0,,,,,1.03,,,,,,,
RUP_975_INC_26,1&2&3,1,01:30:00,20.0,,,,,,0.9,1,,,,,
RUP_975_INC_27,1 & 2 & 3,1,15:00:00,24.0,,,,,1,,,,,,,
RUP_1025_DEC_14,1 & 2 & 3,1,22:15:00,18.0,,,,,0.93,,1.07,,,,,
RUP_975_ACC_12,1 & 2,1,02:45:00,16.0,,,,,,1.01,,,,,,
RUP_975_INC_28,1 & 2,1,23:30:00,17.0,,,,0.72,,0.91,1,,,,,
RUP_975_MBAY_01,1 & 2 & 3,1,03:30:00,14.0,,,,,,1.02,,,,,,
RUP_1050_ACC_ARCHES,1&2&3&4&5,1,20:55:00,20.0,,,,,1.04,,,,,,,
RUP_1025_DEC_15,1 & 2,1,01:10:00,14.0,,,,,,,1.01,,,,,
RUP_975_INC_29,1 & 2 & 3,1,11:00:00,17.0,,,,,"0,76",,"1,06",,,,,
RUP_975_ACC_13,1 & 2 & 3,1,12:00:00,14.0,,,,,1.02,,,,,,,
RUP_1025_DEC_15,3 & 4,2,15:30:00,20.0,,,,,"0,81",1,,,,,,
RUP_1050_ACC_05,1 & 2,1,22:40:00,14.0,,,,,0.75,,0.91,,1.03,,,
RUP_1025_RMP_16,1 & 2,1,16:35:00,27.0,,,,,0.84,1,,,,,,
RUP_1050_ACC_05,4,2,22:45:00,12.0,,,,,0.95,,,,,,,
RUP_975_MBAY_02,1 & 2 & 3 & 4,1,09:30:00,23.0,,,,,,,1.04,,,,,
RUP_975_INC_30,1_6,1,20:30:00,16.0,,,,,0.98,,,,,,,
RUP_1050_ACC_05,"1,2,3",2,02:20:00,16.0,,,0.2,,0.78,0.99,,,,,,
RUP_1050_ACC_05,4 & 5,3,17:00:00,17.0,,,,,1,,,,,,,
RUP_1025_DEC_16,1_5,1,21:20:00,16.0,,,,,0.75,0.99,,,,,,
RUP_975_INC_31,1_3,2,03:50:00,16.0,,,,0.8,,1,,,,,,
RUP_975_MBAY_03,1 & 2 & 3 & 4,1,16:15:00,21.0,,,,,1,,,,,,,
RUP_1050_ACC_06,1&2,1,18:45:00,16.0,,,,,1,,,,,,,
RUP_975_INC_32,1 & 2 & 3 & 4,1,02:00:00,17.0,,,,,,1.01,,,,,,
RUP_1025_DEC_17,1&2,1,16:20:00,23.0,,,,,0.93,,1.01,,,,,
RUP_975_INC_33,1 & 2 & 3 ,1,04:00:00,14.0,,,,,,"1,01",,,,,,
RUP_1025_DEC_17,3 & 4 & 5,2,16:20:00,24.0,,,,,0.94,1.03,,,,,,
RUP_1050_ACC_07,1,1,01:30:00,12.0,,,,,,1.01,,,,,,
RUP_1025_DEC_18,1&2,1,17:30:00,22.0,,,,,,,"1,01",,,,,
RUP_1025_DEC_18,1&2,2,02:00:00,14.0,,,,,1,,,,,,,
RUP_975_INC_SP_01,1 & 2 & 3 & 4,1,21:40:00,17.0,,,,,,1.01,,,,,,
RUP_1025_DEC_19,1 & 2 & 3,1,03:00:00,13.0,,,,,1,,,,,,,
RUP_1050_ACC_07,2 & 3,2,18:00:00,23.0,,,,,,1,,,,,,
RUP_1025_DEC_19,4 & 5 & 6 & 7 & 8,2,01:35:00,12.0,,,,,0.95,1.02,,,,,,
RUP_975_INC_SP_02,3 & 4 & 5 & 6 & 7,1,23:40:00,15.0,,,,,0.88,,,1.0,,,,
RUP_1025_DEC_20,4 & 5 & 6,2,22:15:00,15.0,,,,,,1.02,,,,,,
RUP_975_INC_SP_03,1 & 2 & 4,1,09:30:00,16.0,,,,,1,,,,,,,
RUP_1050_ACC_08(REHAB),1,1,16:00:00,22.0,,,,,"0,94","1,01",,,,,,
RUP_1025_DEC_21,1 & 2,1,21:10:00,12.0,,,,,1.01,,,,,,,
RUP_975_INC_SP_04,1 & 2 & 3,1,05:00:00,11.0,,,,,1,,,,,,,
RUP_1050_ACC_08,2 & 3 & 4,2,10:30:00,12.0,,,,,0.88,1.01,,,,,,
RUP_1025_DEC_21,1 & 2,2,12:30:00,17.0,,,,,,,,,,,,
RUP_985_SP_05,1 & 2 & 3,1,10:15:00,16.0,,,,,1.01,,,,,,,
RUP_975_SP_05,1 & 2 & 3,1,15:00:00,22.0,,,,,0.92,1.01,,,,,,
RUP_1050_ACC_09,1 & 2,1,21:30:00,12.0,,,,,,1.06,,,,,,
RUP_1025_DEC_22,1 & 2,2,23:50:00,12.0,,,,,,1.02,,,,,,
RUP_1050_ACC_09,1 & 2,2,14:45:00,23.0,,,,,0.88,1,,,,,,
RUP_1025_DEC_22,1 & 2,2,17:15:00,23.0,,,,,,,,1.09,,,,
RUP_985_SP_06,1 & 2 & 3,1,04:00:00,14.0,,,,,1.02,,,,,,,
RUP_975_SP_06,1 & 2,1,05:00:00,15.0,,,,,0.99,,,,,,,
RUP_1025_DEC_23,1 & 2 & 3,1,16:50:00,20.0,,,,,1,,,,,,,
RUP_975_INC_35,1 & 2 & 3,1,13:40:00,23.0,,,,,,1.26,,,,,,
RUP_975_SP_07,1 & 2 & 3,1,17:17:00,18.0,,,,,1,,,,,,,
RUP_1040_SMP_02,1 & 2,1,15:30:00,25.0,,,,,,1,,,,,,
RUP_975_INC_36,1 & 2 & 3,1,,20.0,,,,,,1,,,,,,
RUP_975_INC_37,1 & 2 & 3,1,11:20:00,18.0,,,,,1,,,,,,,
RUP_1040_SMP_03,1 & 2,1,17:50:00,18.0,,,,,,1.02,,,,,,
RUP_1025_DEC_25,1 & 2,1,17:20:00,16.0,,,,,,,1.02,,,,,
RUP_1040_SMP_03,3 & 4,2,21:30:00,14.0,,,,,,1.01,,,,,,
RUP_975_INC_38,1 & 2 & 3,1,00:45:00,14.0,,,,,1.01,,,,,,,
RUP_1050_ACC_10,5 & 6,1,22:45:00,13.0,,,,,1,,,,,,,
RUP_1025_DEC_28,1 & 2 & 3,1,02:15:00,11.0,,,,,1.01,,,,,,,
RUP_1050_ACC_11,1 & 2 ,1,03:15:00,11.0,,,,,1,,,,,,,
RUP_1025_DEC_29,1 & 2 & 3,1,02:45:00,13.0,,,,,1.01,,,,,,,
RUP_975_INC_44,1 & 2 & 3,1,21:50:00,14.0,,,,,1.02,,,,,,,
RUP_1050_ACC_12,1 & 2 ,1,02:45:00,13.0,,,,0.89,,1.03,,,,,,
RUP_1025_DEC_30,1 & 2 ,1,09:30:00,12.0,,,,,0.86,,,1.01,,,,
RUP_975_ACC_15,1 & 2 ,1,16:30:00,13.0,,,,,1,,,,,,,
RUP_975_INC_45,1 & 2 ,1,20:45:00,14.0,,,,,1.01,,,,,,,
RUP_975_ACC_15,1,1,22:45:00,14.0,,,,,0.91,,1,,,,,
RUP_975_ACC_15 (+1.3m),1,1,15:00:00,14.0,,,,,1,,,,,,,
RUP_1050_ACC_13,1,1,16:45:00,12.0,,,,,1.01,,,,,,,
RUP_1025_DEC_31,1 & 2 ,2,20:00:00,16.0,,,,,1,,,,,,,
RUP_975_ACC_15,3,3,21:30:00,14.0,,,,,,1.04,,,,,,
RUP_975_INC_46,1 & 2 ,1,01:00:00,13.0,,,,,1.03,,,,,,,
RUP_1025_DEC_32,1 & 2 ,1,23:00:00,14.0,,,,,1,,,,,,,
RUP_975_ACC_16,1,1,01:00:00,13.0,,,,,0.99,,,,,,,
RUP_975_ACC_16,2 & 3,2,05:20:00,13.0,,,,,,,,1.06,,,,
RUP_1074_ACC (Rehab),1 & 2 ,1,15:05:00,18.0,,,,,1,,,,,,,
RUP_1025_DEC_33,1 & 2 & 3,1,18:45:00,18.0,,,,,,1.02,,,,,,
RUP_1050_ACC_14,1 & 2 & 3,1,01:20:00,10.0,,,,,0.84,1.01,,,,,,
RUP_975_INC_47,1 & 2 & 3,1,08:40:00,10.0,,,,,0.83,1,,,,,,
RUP_1025_DEC_34,1 & 2 & 3 & 4,2,11:15:00,14.0,,,,,0.58,,,1.01,,,,
RUP_975_INC_49,1 & 2 ,1,00:40:00,13.0,,,,,1.01,,,,,,,
RUP_975_ACC_18,1 & 2 ,1,02:50:00,13.0,,,,,1,,,,,,,
RUP_1074_ACC_02,1 & 2 & 3,1,16:40:00,20.0,,,,,1.03,,,,,,,
RUP_975_ACC_18,1 & 2 ,2,20:30:00,13.0,,,,,,,1.02,,,,,
RUP_1050_ACC_16,1 & 2 ,1,00:45:00,12.0,,,,,,1,,,,,,
RUP_975_INC_50,1 & 2 & 3,1,03:45:00,12.0,,,,,1.01,,,,,,,
RUP_975_ACC_19,1 & 2 ,1,18:00:00,11.0,,,,,0.85,,1.02,,,,,
RUP_1074_ACC_03,1 & 2 ,1,01:50:00,10.0,,,,,1.01,,,,,,,
RUP_1050_ACC_16,1 & 2 ,1,04:00:00,10.0,,,,,,,,,,,,
RUP_975_ACC_19,1 & 2 ,2,09:20:00,16.0,,,,,1.01,,,,,,,
RUP_1074_ACC_03,3 & 4 & 5,2,13:00:00,22.0,,,,,,,1.05,,,,,
RUP_975_INC_51,1 & 2 ,1,18:00:00,15.0,,,,,,1.01,,,,,,
RUP_975_ACC_19,5,2,20:30:00,15.0,,,,,,1.02,,,,,,
RUP_1074_ACC_04,1 & 2 ,1,22:00:00,14.0,,,,,0.86,,1.01,,,,,
RUP_1074_ACC_04,1 & 2 & 3 & 4 & 5 & 6,1,21:35:00,15.0,,,,,1.01,,,,,,,
RUP_1074_ACC_05,1 & 2 & 3,1,17:15:00,17.0,,,,,,,,,1.09,,,
RUP_975_ACC_20,1 & 2 & 3 & 4,1,00:35:00,14.0,,,,,1.01,,,,,,,
RUP_1025_DEC_38,1 & 2 & 3,1,21:50:00,14.0,,,,,1,,,,,,,
RUP_1050_FWS_01 + 1050 ACC,1 & 2 & 3 & 4 & 5 ,1,00:15:00,13.0,,,,,1,,,,,,,
RUP_975_ACC_21,1 & 2 ,1,03:45:00,10.0,,,,,1,,,,,,,
RUP_975_ACC_21,1 & 2 & 3 & 4,2,02:10:00,5.0,,,,,1,,,,,,,
RUP_1025_DEC_39,1 & 2 & 3,3,11:30:00,3.0,,,,,1.01,,,,,,,
RUP_1074_ACC_06,1 & 2 ,1,15:00:00,4.0,,,,,,1.02,,,,,,
RUP_1074_ACC_06,3 & 4,2,01:10:00,1.0,,,,,1.03,,,,,,,
RUP_1074_ACC_07,1 & 2 & 3,1,15:30:00,2.0,,,,,1.02,,,,,,,
RUP_1074_ACC_07, 3 & 4 & 5,2,23:50:00,2.0,,,,,,,1.04,,,,,
RUP_975_ACC_22,1 & 2 ,2,16:00:00,1.0,,,,,1.01,,,,,,,
RUP_1074_ACC_08,,1,,,,,,,,,,,,,,
RUP_1050_FWS_02,1 & 2 & 3,1,20:30:00,10.0,,,,,1,,,,,,,
RUP_975_ACC_23,1 & 2 ,1,00:50:00,9.0,,,,,,,,,1.13,,,
RUP_1074_ACC_09,1 & 2 ,1,05:00:00,11.0,,,,,,,,,,,,"1,06"
RUP_975_ACC_23,1 & 2 ,2,16:45:00,20.0,,,,,1,,,,,,,
RUP_1025_DEC_40,1 & 2 & 3,1,06:30:00,15.0,,,,,,,,,,,1.07,
RUP_1074_ACC_10,1 & 2 ,1,13:50:00,20.0,,,,,1,,,,,,,
RUP_975_ACC_24,1 & 2 ,1,12:20:00,16.0,,,,,0.78,,1,,,,,
RUP_1074_ACC_11,1 & 2 & 3,1,16:30:00,19.0,,,,,1.01,,,,,,,
RUP_975_ACC_24,1 & 2 & 3 & 4,2,12:10:00,14.0,,,,,,1.01,,,,,,
RUP_1074_ACC_12,1 & 2 & 3,1,01:15:00,12.0,,,,,,0.64,0.68,,0.73,0.78,,
RUP_1074_ACC_12,1 & 2 & 3,2,13:00:00,10.0,,,,,1,,,,,,,
RUP_975_ACC_25,1 & 2 ,1,16:35:00,18.0,,,,,,,,,1,,,
RUP_975_ACC_25,3 & 4,2,00:30:00,8.0,,,,,,1.02,,,,,,
RUP_1025_DEC_43,1 & 2 & 3,1,09:30:00,8.0,,,,,0.95,1.02,,,,,,
RUP_1074_ACC_13,1 & 2 & 3,1,16:30:00,8.0,,,,,,,,,1,,,
RUP_1025_DEC_43,4 & 5,2,21:45:00,13.0,,,,,0.73,,0.84,,1,,,
RUP_1074_ACC_13,4 & 5,2,02:00:00,12.0,,,,,,1.02,,,,,,
RUP_975_ACC_26,1 & 2,1,10:30:00,21.0,,,,,,1.02,,,,,,
RUP_1074_ACC_14,1 & 2,1,16:30:00,19.0,,,,,,1,,,,,,
RUP_1074_ACC_15,1 & 2,1,16:30:00,7.0,,,,,,,1.01,,,,,
RUP_1025_DEC_44,1 & 2,1,,,,,,,,,,,,,,
RUP_1074_ACC_15,1 & 2 & 3,1,18:00:00,13.0,,,,,,,1.05,,,,,
RUP_975_ACC_26,1 & 2,2,22:00:00,11.0,,,,,1.02,,,,,,,
RUP_1074_ACC_15,1 & 2 & 3 & 4,2,03:00:00,8.0,,,,,1.03,,,,,,,
RUP_1074_ACC_17 ,1 & 2 & 3,1,02:35:00,8.0,,,,,1.01,,,,,,,
RUP_975_ACC_27,1 & 2 & 3,2,23:59:00,13.0,,,,,,,,,1.06,,,
RUP_1074_ACC_17 (ARCHA)+REHAB,,1,23:40:00,8.0,,,,,1.02,,,,,,,
RUP_1074_ACC_18,3 & 4 & 5 & 6,2,21:50:00,9.0,,,,,0.72,,0.77,,0.83,,,
RUP_1074_ACC_18,7,2,02:30:00,8.0,,,,,,1.04,,,,,,
RUP_975_ACC_27,1 & 2,1,,,,,,,,,,,,,,
RUP_1074_ACC_19,1 & 2,1,01:30:00,12.0,,,,,,0.92,1,,,,,
RUP_1074_ACC_19,1 & 2 & 3,2,,,,,,,,,,,,,,
RUP_975_ACC_27,3 & 4 & 5,2,22:00:00,12.0,,,,,,,,1.0,,,,
RUP_975_ACC_27,6,2,03:00:00,9.0,,,,,,,,,,1.0,,
RUP_1074_ACC_20,1 & 2,1,05:30:00,11.0,,,,,,,,1.01,,,,
RUP_1074_ACC_20,3 & 4 & 5,2,16:45:00,10.0,,,,,,1.03,,,,,,
RUP_975_ACC_28,1 & 2,1,02:00:00,6.0,,,,,,,1.03,,,,,
RUP_1074_ACC_20,1 & 2,1,08:20:00,12.0,,,,,1,,,,,,,
RUP_1074_ACC_21,1&2,1,21:30:00,11.0,,,,,,1,,,,,,
